Manufacturer,LogoUrl
Canon,https://upload.wikimedia.org/wikipedia/commons/8/8d/Canon_logo.svg
Sony,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sony_logo.svg
Nikon,https://upload.wikimedia.org/wikipedia/commons/f/f3/Nikon_Logo.svg
Fujifilm,https://upload.wikimedia.org/wikipedia/commons/a/a1/Fujifilm_logo.svg
Panasonic Lumix,https://upload.wikimedia.org/wikipedia/commons/3/3e/Lumix_logo.svg
Olympus,https://upload.wikimedia.org/wikipedia/commons/2/2d/Olympus_Corporation_logo.svg
OM System,https://upload.wikimedia.org/wikipedia/commons/b/bd/OMDS_OM-System-Logo.svg
Leica,https://upload.wikimedia.org/wikipedia/commons/8/8e/Leica_Camera.svg
Pentax,https://upload.wikimedia.org/wikipedia/commons/8/81/Pentax_Logo.svg
Ricoh,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ricoh_logo_2005.svg
Hasselblad,https://upload.wikimedia.org/wikipedia/commons/e/ef/Hasselblad_Logo_2015.png
Apple,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
Samsung,https://upload.wikimedia.org/wikipedia/commons/b/b4/Samsung_wordmark.svg
Google Pixel, https://static.vecteezy.com/system/resources/thumbnails/068/842/026/small_2x/google-pixel-logo-emblem-icon-transparent-background-free-png.png
DJI,https://upload.wikimedia.org/wikipedia/commons/9/9a/DJI_Innovations_logo.svg
